_id,userId,restaurantId,rate,time,title,description
678136022e6c6fe7a4d962d4,67812080426d11b58b7f0500,67812ec1514dba6089ed92ac,7.8,14/9/2024 19:24,What is the truth?,"I’ve been eating from this restaurant for more than 10 years. There’s been a long history of 2 rivals with the same name of this restaurant but with different address. Regardless of who is the first to start selling this, there’s great efforts from the rival of this shop to constantly trying leave a bad name to this shop. This shop’s food is always fresh and tasty, i just ordered an hour ago and it’s as fresh as eating at the shop (provided that you eat immediately). I saw many bad reviews and I questioned their authenticity as many of the reviews never talk about how they complained to the shop, what was the response of the shop, was there a refund, etc. Just plain complaining about bad food from here. So you can tell these are people trying to create bad reviews for the sake of smearing bad name to this shop. Im from Singapore, just come to***to travel once in a while."
678136022e6c6fe7a4d962d5,67812080426d11b58b7f04cb,67812ec1514dba6089ed92ac,3,28/6/2024 15:07,Cua quá dỡ,"Mua hộp cơm xào cua ăn mà thấy cua ko dc tươi,bỡ nghe mùi hôi"
678136022e6c6fe7a4d962d6,67812080426d11b58b7f0524,67812ec1514dba6089ed92ac,1,14/1/2024 18:41,"đồ ăn rất tệ , không biêt có đúng tiệm không? Cho tôi xin lại tiền",Dồ ăn quá tệ
678136022e6c6fe7a4d962d7,67812080426d11b58b7f0412,67812ec1514dba6089ed92ac,6,9/10/2023 18:54,Miến Cua 94 - Chính Gốc,Cơm xào cua nhiều cua ngon đáng tiền
678136022e6c6fe7a4d962d8,67812080426d11b58b7f060a,67812ec1514dba6089ed92ac,9.4,8/8/2022 22:15,Miến Cua 94 - Chính Gốc,"Nhìn quán khá hấp dẫn, có dịp mình sẽ ghé lại quán. Đã 4 năm rồi mình không ăn lại quán của các bạn."
678136022e6c6fe7a4d962d9,67812080426d11b58b7f062c,67812ec1514dba6089ed92ac,7,22/9/2021 9:55,Chả giò mùa dịch,"Sau 1 thời gian giãn cách mình đặt món tại tiệm CUA 94, địa chỉ của 94*** Q1. Rau tươi. Cua ..."
678136022e6c6fe7a4d962da,67812080426d11b58b7f0547,67812ec1514dba6089ed92ac,5,30/5/2020 8:44,Quán ăn bớt,"Đặt qua NOW có mã giảm giá 30k thì nhận được cái hộp miến nhiều, cua chút xíu mà vị còn mặn.
Rau cũng cho ít lại, đu đủ cà rốt ngâm cũng còn có vài lát.
Chả giò chỉ còn giòn nhẹ, nhân hơi khô, thịt nhiều cua ít không thơm tẹo nào.
Tính ra giá vẫn mắc mà chất lượng í ẹ thật sự.
Quán cần xem lại không là mất khách."
678136022e6c6fe7a4d962db,67812080426d11b58b7f0513,67812ec1514dba6089ed92ac,1,8/4/2020 13:36,"Dỡ tệ , tức mà ko còn gì để tức","Nghĩ sao , hộp miếng cua 200k gồm :
99% miếng mặn , sợi khô
1% cua bở , mùi thum thủm 
Trời ơi là trời , rồi tặng kèm 1 bịch rau với 1 bịch mắm nem cua bể , bó tay !!!
Nghĩ sao mà kêu ngon , bó tay tập 2 
Mắc mà tức á , bó tay toàn tập !!! 
-> 1 bữa trưa bức xúc toàn tập 🤬🤬🤬"
678136022e6c6fe7a4d962dc,67812080426d11b58b7f02f9,67812ec1514dba6089ed92ac,4.6,24/12/2019 8:40,CHả giò và Soup cua,"Mình đi ăn hôm qua gọi phần chả giò cua và soup cua. Đúng là 2 quán gần nhau chẳng biết cái nào thật cái nào giả, nên chọn quán vị trí cũ. Rau rửa không sạch, còn có sâu, nhân viên nói là có sâu là rau sạch, chẳng đi rửa lại, hay đổi cho khách. Chả giò ăn bình thường, soup cũng bình thường, giá cao so với chât lượng. Mình thấy mua về đồ nóng (miến xào) mà bỏ vào cái hộp nhựa đổ từ chảo vào thẳng, hơi lo ngại cho người ăn. Gửi xe 5k! Ăn ở quán ra vẫn trả tiền gửi xe, Không quay lại."
678136022e6c6fe7a4d962dd,67812080426d11b58b7f03db,67812ec1514dba6089ed92ac,5,19/12/2019 23:11,chất lượng giảm,"Lúc trướcc hay order miến xào cua quán này vì chất lượng rất tốt, 200k nhưng đáng đồng tiền. Hôm qua ko nấu cơm nên order về ăn thì thất vọng hoàn toàn. Không biết bếp ngủ gục hay sao mà miến rất mặn, cua thì rất ít. Lúc trước cua rất nhiều và có cả gạch cua nữa. Quán nên xem lại chất lượng dạo gần đây nhé."
